suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Control,0.1,train,19,37,0.743071973323822,3.9429056644439697,3.8947367668151855
Control,0.1,train,19,37,0.7766165137290955,3.921893835067749,3.8947367668151855
Control,0.1,train,22,44,0.7336899042129517,3.967440605163574,4.0
Control,0.1,train,22,44,0.7693318724632263,3.947342872619629,4.0
Control,0.1,train,22,44,0.8005781769752502,3.940556287765503,4.0
Control,0.1,train,22,44,0.8231847882270813,3.9388625621795654,4.0
Control,0.1,train,22,44,0.845163881778717,3.9399449825286865,4.0
Control,0.1,train,22,44,0.8672133088111877,3.942526340484619,4.0
Control,0.1,train,22,44,0.9113781452178955,3.9414567947387695,4.0
Control,0.1,train,22,44,0.9274781942367554,3.923985481262207,4.0
Control,0.1,train,22,44,0.941157341003418,3.9182775020599365,4.0
Control,0.1,train,22,44,0.948876142501831,3.9133689403533936,4.0
Control,0.1,train,22,44,0.9499610662460327,3.9082682132720947,4.0
Control,0.1,train,22,44,0.9506549835205078,3.9041008949279785,4.0
Control,0.1,train,24,48,0.8708741068840027,3.9438858032226562,4.0
Control,0.1,train,28,60,0.7519487738609314,3.9120192527770996,4.285714149475098
Control,0.1,train,32,68,0.6708872318267822,3.9305388927459717,4.25
Control,0.1,train,32,68,0.6946781873703003,3.902024984359741,4.25
Control,0.1,train,32,68,0.7235043048858643,3.8980698585510254,4.25
Control,0.1,train,32,68,0.7522419095039368,3.9024038314819336,4.25
Control,0.1,train,35,75,0.7354037761688232,3.950970411300659,4.285714149475098
Control,0.1,train,35,75,0.7605262994766235,3.955831527709961,4.285714149475098
Control,0.1,train,35,75,0.7860177755355835,3.9661638736724854,4.285714149475098
Control,0.1,train,39,84,0.7251110076904297,4.018013954162598,4.307692527770996
Control,0.1,train,39,84,0.748193085193634,4.007528305053711,4.307692527770996
Control,0.1,train,39,86,0.770706057548523,3.998004674911499,4.410256385803223
Control,0.1,train,39,86,0.7855564951896667,3.9891693592071533,4.410256385803223
Control,0.1,train,39,86,0.8148950338363647,3.9980077743530273,4.410256385803223
Control,0.1,train,39,86,0.8291175961494446,4.004837989807129,4.410256385803223
Control,0.1,train,39,86,0.8432593941688538,4.012300491333008,4.410256385803223
Control,0.1,train,39,87,0.859247088432312,3.998624086380005,4.461538314819336
Control,0.1,train,39,87,0.8734396696090698,3.9981791973114014,4.461538314819336
Control,0.1,train,39,87,0.8859228491783142,3.999034881591797,4.461538314819336
Control,0.1,train,39,87,0.9022065997123718,3.9974260330200195,4.461538314819336
Control,0.1,train,39,87,0.9084146022796631,3.995689868927002,4.461538314819336
Control,0.1,train,43,98,0.8285446763038635,3.990415096282959,4.558139324188232
Control,0.1,train,48,113,0.744661808013916,3.975637674331665,4.708333492279053
Control,0.1,train,56,134,0.6391957402229309,3.9931797981262207,4.785714149475098
Control,0.1,train,56,134,0.6508782505989075,3.93819260597229,4.785714149475098
Control,0.1,train,56,134,0.6844349503517151,3.915626287460327,4.785714149475098
Control,0.1,train,56,134,0.702076256275177,3.916933059692383,4.785714149475098
Control,0.1,train,60,144,0.6714493036270142,3.925729274749756,4.800000190734863
Control,0.1,train,60,144,0.6888784170150757,3.91835618019104,4.800000190734863
Control,0.1,train,60,144,0.7058784365653992,3.9116694927215576,4.800000190734863
Control,0.1,train,67,164,0.6472263336181641,3.920494794845581,4.895522594451904
Control,0.1,train,67,164,0.6776313185691833,3.901972532272339,4.895522594451904
Control,0.1,train,67,164,0.6880239844322205,3.8946828842163086,4.895522594451904
Control,0.1,train,67,164,0.6970908045768738,3.89338755607605,4.895522594451904
Control,0.1,train,67,164,0.7060216665267944,3.8952205181121826,4.895522594451904
Control,0.1,train,67,164,0.7150505781173706,3.8992974758148193,4.895522594451904
Control,0.1,train,67,164,0.7242740392684937,3.898308515548706,4.895522594451904
Control,0.1,train,67,164,0.7434731721878052,3.8931660652160645,4.895522594451904
Control,0.1,train,67,164,0.7533978819847107,3.8941800594329834,4.895522594451904
Control,0.1,train,67,164,0.7631809115409851,3.8956518173217773,4.895522594451904
Control,0.1,train,67,164,0.7723302245140076,3.897401809692383,4.895522594451904
Control,0.1,train,67,164,0.7808130383491516,3.899260997772217,4.895522594451904
Control,0.1,train,73,178,0.7239510416984558,3.917079448699951,4.876712322235107
Control,0.1,train,93,228,0.5766599774360657,3.9495067596435547,4.903225898742676
Control,0.1,train,93,228,0.5826194286346436,3.9166574478149414,4.903225898742676
Control,0.1,train,93,228,0.591115415096283,3.9167444705963135,4.903225898742676
Control,0.1,train,93,228,0.6011371612548828,3.9248337745666504,4.903225898742676
Control,0.1,train,93,228,0.6123079061508179,3.9366209506988525,4.903225898742676
Control,0.1,train,99,244,0.5860595107078552,3.945249557495117,4.929293155670166
Control,0.1,train,99,244,0.6020432114601135,3.9790446758270264,4.929293155670166
Control,0.1,train,110,270,0.5437237620353699,3.991687059402466,4.909090995788574
