-- Configuring done (3.1s)
-- Generating done (2.4s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestDeformationEnergy
=== BUILD DONE, STARTING TestDeformationEnergy ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestDeformationEnergy.hpp *****


Entering TestAreaElasticity_1p0_rep1
Starting simulation: AreaElasticity_1.0_rep1
areaElasticity = 1
Target area: 60 units^2
Initial cell count: 6
t=355 h | cells=137 | area=50.3918/60 | coverage=83.9863%
t=356 h | cells=137 | area=50.3009/60 | coverage=83.8348%
t=357 h | cells=139 | area=50.1502/60 | coverage=83.5836%
t=358 h | cells=137 | area=50.1107/60 | coverage=83.5178%
t=359 h | cells=135 | area=50.0483/60 | coverage=83.4139%
t=360 h | cells=134 | area=50.023/60 | coverage=83.3716%
t=361 h | cells=132 | area=50.0473/60 | coverage=83.4122%
t=362 h | cells=132 | area=50.1158/60 | coverage=83.5263%
t=363 h | cells=135 | area=50.1479/60 | coverage=83.5799%
t=364 h | cells=135 | area=50.1838/60 | coverage=83.6397%
t=365 h | cells=132 | area=50.2681/60 | coverage=83.7801%
t=366 h | cells=133 | area=50.2419/60 | coverage=83.7365%
t=367 h | cells=131 | area=50.2455/60 | coverage=83.7425%
t=368 h | cells=132 | area=50.3278/60 | coverage=83.8797%
t=369 h | cells=132 | area=50.3396/60 | coverage=83.8993%
t=370 h | cells=133 | area=50.4001/60 | coverage=84.0002%
t=371 h | cells=133 | area=50.462/60 | coverage=84.1034%
t=372 h | cells=131 | area=50.5123/60 | coverage=84.1871%
t=373 h | cells=130 | area=50.5817/60 | coverage=84.3028%
t=374 h | cells=129 | area=50.6444/60 | coverage=84.4073%
t=375 h | cells=127 | area=50.7283/60 | coverage=84.5471%
t=376 h | cells=128 | area=50.7703/60 | coverage=84.6171%
t=377 h | cells=130 | area=50.767/60 | coverage=84.6116%
t=378 h | cells=131 | area=50.7376/60 | coverage=84.5627%
t=379 h | cells=132 | area=50.732/60 | coverage=84.5533%
t=380 h | cells=135 | area=50.7108/60 | coverage=84.5179%
t=381 h | cells=134 | area=50.5955/60 | coverage=84.3259%
t=382 h | cells=133 | area=50.5657/60 | coverage=84.2761%
t=383 h | cells=132 | area=50.5412/60 | coverage=84.2353%
t=384 h | cells=131 | area=50.3963/60 | coverage=83.9939%
t=385 h | cells=132 | area=50.279/60 | coverage=83.7984%
t=386 h | cells=130 | area=50.2508/60 | coverage=83.7514%
t=387 h | cells=128 | area=50.234/60 | coverage=83.7233%
