-- Configuring done (3.5s)
-- Generating done (2.0s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestControl_15x4
=== BUILD DONE, STARTING TestControl_15x4 ===
Running 3 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestControl_15x4.hpp *****


Entering TestControl_rep1
Starting simulation: Control_15x4 rep1
Target area: 60 units^2
Initial cell count: 6
t=52 h | cells=24 | area=22.7568/60 | coverage=37.928%
t=53 h | cells=24 | area=22.7795/60 | coverage=37.9659%
t=54 h | cells=24 | area=22.7984/60 | coverage=37.9973%
t=55 h | cells=24 | area=22.8142/60 | coverage=38.0237%
t=56 h | cells=24 | area=22.8281/60 | coverage=38.0468%
t=57 h | cells=24 | area=22.8406/60 | coverage=38.0676%
t=58 h | cells=26 | area=22.8265/60 | coverage=38.0442%
t=59 h | cells=26 | area=22.9857/60 | coverage=38.3095%
t=60 h | cells=26 | area=23.1957/60 | coverage=38.6595%
t=61 h | cells=29 | area=23.3481/60 | coverage=38.9134%
t=62 h | cells=32 | area=23.7575/60 | coverage=39.5958%
t=63 h | cells=39 | area=24.2679/60 | coverage=40.4465%
t=64 h | cells=43 | area=25.183/60 | coverage=41.9716%
t=65 h | cells=43 | area=26.4424/60 | coverage=44.0706%
t=66 h | cells=43 | area=27.6021/60 | coverage=46.0034%
t=67 h | cells=43 | area=28.8118/60 | coverage=48.0197%
t=68 h | cells=43 | area=29.8921/60 | coverage=49.8202%
t=69 h | cells=43 | area=31.0158/60 | coverage=51.693%
t=70 h | cells=43 | area=32.053/60 | coverage=53.4217%
t=71 h | cells=43 | area=33.0162/60 | coverage=55.0271%
t=72 h | cells=43 | area=33.9651/60 | coverage=56.6085%
t=73 h | cells=43 | area=34.8717/60 | coverage=58.1196%
t=74 h | cells=43 | area=35.6371/60 | coverage=59.3951%
t=75 h | cells=43 | area=36.2083/60 | coverage=60.3472%
t=76 h | cells=43 | area=36.6994/60 | coverage=61.1657%
t=77 h | cells=43 | area=37.1324/60 | coverage=61.8873%
t=78 h | cells=43 | area=37.5172/60 | coverage=62.5286%
t=79 h | cells=43 | area=37.8603/60 | coverage=63.1006%
t=80 h | cells=43 | area=38.166/60 | coverage=63.61%
t=81 h | cells=43 | area=38.4292/60 | coverage=64.0486%
t=82 h | cells=46 | area=38.6537/60 | coverage=64.4228%
t=83 h | cells=46 | area=38.8393/60 | coverage=64.7321%
t=84 h | cells=46 | area=39.0204/60 | coverage=65.0341%
t=85 h | cells=52 | area=39.3392/60 | coverage=65.5654%
t=86 h | cells=57 | area=39.9813/60 | coverage=66.6355%
t=87 h | cells=69 | area=40.6016/60 | coverage=67.6694%
t=88 h | cells=75 | area=41.1954/60 | coverage=68.659%
t=89 h | cells=75 | area=42.0467/60 | coverage=70.0778%
t=90 h | cells=75 | area=42.9996/60 | coverage=71.6661%
t=91 h | cells=75 | area=44.0476/60 | coverage=73.4126%
t=92 h | cells=75 | area=45.1796/60 | coverage=75.2993%
t=93 h | cells=75 | area=46.4084/60 | coverage=77.3473%
t=94 h | cells=75 | area=47.7551/60 | coverage=79.5918%
t=95 h | cells=75 | area=48.894/60 | coverage=81.4899%
t=96 h | cells=75 | area=49.9479/60 | coverage=83.2465%
t=97 h | cells=75 | area=51.0218/60 | coverage=85.0364%
t=98 h | cells=75 | area=52.07/60 | coverage=86.7833%
t=99 h | cells=75 | area=52.9183/60 | coverage=88.1972%
t=100 h | cells=75 | area=53.6745/60 | coverage=89.4575%
t=101 h | cells=75 | area=54.372/60 | coverage=90.62%
t=102 h | cells=75 | area=55.0257/60 | coverage=91.7096%
t=103 h | cells=75 | area=55.6439/60 | coverage=92.7399%
t=104 h | cells=75 | area=56.2344/60 | coverage=93.724%
t=105 h | cells=75 | area=56.8002/60 | coverage=94.667%
t=106 h | cells=81 | area=57.3419/60 | coverage=95.5699%
t=107 h | cells=81 | area=57.8281/60 | coverage=96.3802%
t=108 h | cells=81 | area=58.2717/60 | coverage=97.1194%
t=109 h | cells=90 | area=58.6039/60 | coverage=97.6732%
t=110 h | cells=97 | area=59.1687/60 | coverage=98.6145%
