-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=75 h | cells=46 | area=33.2232/60 | coverage=55.372%
t=76 h | cells=52 | area=33.8416/60 | coverage=56.4027%
t=77 h | cells=52 | area=34.8203/60 | coverage=58.0338%
t=78 h | cells=52 | area=35.9756/60 | coverage=59.9593%
t=79 h | cells=58 | area=37.0617/60 | coverage=61.7695%
t=80 h | cells=58 | area=38.1863/60 | coverage=63.6438%
t=81 h | cells=58 | area=39.3417/60 | coverage=65.5694%
t=82 h | cells=58 | area=40.3794/60 | coverage=67.2991%
t=83 h | cells=58 | area=41.372/60 | coverage=68.9533%
t=84 h | cells=58 | area=42.3533/60 | coverage=70.5889%
t=85 h | cells=58 | area=43.3332/60 | coverage=72.222%
t=86 h | cells=58 | area=44.2941/60 | coverage=73.8235%
t=87 h | cells=58 | area=44.9617/60 | coverage=74.9362%
t=88 h | cells=58 | area=45.5522/60 | coverage=75.9203%
t=89 h | cells=58 | area=46.1171/60 | coverage=76.8618%
t=90 h | cells=58 | area=46.6643/60 | coverage=77.7739%
t=91 h | cells=61 | area=47.1976/60 | coverage=78.6627%
t=92 h | cells=61 | area=47.7003/60 | coverage=79.5005%
t=93 h | cells=61 | area=48.1739/60 | coverage=80.2898%
t=94 h | cells=61 | area=48.623/60 | coverage=81.0384%
t=95 h | cells=70 | area=49.0112/60 | coverage=81.6853%
